customer_id,overall_revenue,avg_store_revenue,avg_online_revenue,age,gender,married,college_degree,high_income
1001,225.11102914800472,149.99166447040068,75.11936467760404,52,Female,No,No,Not high income
1002,198.73712147170272,74.62387318459585,124.11324828710687,53,Female,Yes,No,Not high income
1003,175.7813221560736,40.45624968587488,135.32507247019873,35,Male,No,No,Not high income
1004,213.92878803432853,38.60225296160759,175.32653507272096,39,Other,Yes,Yes,Not high income
1005,264.3836460543042,59.50560926160375,204.8780367927005,36,Male,No,Yes,Not high income
1006,152.60776289863446,55.14032760720945,97.467435291425,29,Male,Yes,Yes,High income
1007,221.27540311748382,58.01289316122641,163.26250995625742,55,Male,No,No,Not high income
1008,276.368839757384,123.60648748742064,152.76235226996337,29,Male,No,No,Not high income
1009,273.3510248936086,113.10903970484755,160.24198518876105,65,Male,No,No,High income
1010,183.35336575877764,98.89617726993968,84.45718848883796,29,Female,Yes,No,Not high income
1011,261.1262400911904,170.25978812121875,90.86645196997168,51,Male,Yes,No,High income
1012,234.0677317781956,55.84967029217213,178.21806148602346,70,Female,Yes,No,High income
1013,340.6902201311424,116.47609842910673,224.21412170203567,49,Female,Yes,Yes,High income
1014,357.6313264995752,165.02809220262512,192.6032342969501,26,Male,Yes,No,Not high income
1015,323.50475817159304,93.04536156755474,230.4593966040383,28,Male,No,Yes,High income
1016,279.82713667215734,95.98575175124488,183.84138492091247,39,Other,Yes,Yes,High income
1017,172.28250478871078,48.32256644509645,123.95993834361434,26,Male,No,Yes,Not high income
1018,248.74967085455341,118.9689195279165,129.78075132663693,39,Male,No,Yes,High income
1019,378.71829678121554,225.144687044279,153.57360973693653,39,Female,No,Yes,Not high income
1020,405.32244991617813,184.7133351751559,220.60911474102227,51,Male,Yes,No,High income
1021,166.4071437586764,83.97757010284944,82.42957365582697,26,Female,No,Yes,Not high income
1022,226.65819058229408,85.27388471281272,141.38430586948135,44,Female,No,Yes,High income
1023,219.32885104335753,65.94574511178676,153.38310593157075,28,Female,No,Yes,High income
1024,162.59552928172826,109.588864642844,53.006664638884274,49,Female,Yes,Yes,High income
1025,263.77305429324883,131.55300303004753,132.22005126320127,62,Male,Yes,Yes,High income
1026,177.53198774697796,103.06656597309659,74.46542177388136,24,Male,No,No,Not high income
1027,320.87187109219883,84.8639506137087,236.00792047849015,27,Female,No,Yes,Not high income
1028,229.2909429235651,107.94465639201614,121.34628653154896,43,Female,No,No,Not high income
1029,284.76635630770545,147.44938372351623,137.31697258418922,37,Female,No,Yes,Not high income
1030,171.16181969745202,59.23474776195479,111.92707193549722,54,Female,Yes,Yes,High income
1031,193.25629546994435,119.69474119020602,73.56155427973833,37,Other,No,Yes,High income
1032,150.2914312523457,94.49907273741526,55.792358514930434,41,Male,No,No,Not high income
1033,267.39321694663636,129.63014540146105,137.7630715451753,46,Other,Yes,No,High income
1034,208.41845904518516,65.30477769792056,143.1136813472646,54,Other,Yes,Yes,High income
1035,329.04195370783174,85.0601262775793,243.98182743025245,37,Male,No,Yes,Not high income
1036,224.5642142819651,92.38323848181781,132.18097580014728,45,Female,Yes,Yes,High income
1037,281.55152638135144,49.547447628491284,232.00407875286018,51,Female,Yes,No,High income
1038,129.90350558058014,83.39129146726225,46.512214113317896,53,Female,Yes,Yes,High income
1039,256.3144270366285,110.30309356591067,146.01133347071783,39,Male,Yes,Yes,High income
1040,235.4071892156692,82.48554514205483,152.92164407361437,30,Female,Yes,Yes,High income
1041,129.46409765703027,53.71749576408461,75.74660189294566,33,Male,Yes,Yes,Not high income
1042,241.2791368504155,83.42020051273896,157.85893633767657,25,Female,No,Yes,High income
1043,299.56488126004666,116.19961398850485,183.36526727154182,41,Male,Yes,Yes,Not high income
1044,329.5521377304907,117.74756144008798,211.80457629040274,55,Female,Yes,No,Not high income
1045,303.0214519657118,103.24091265903832,199.78053930667346,47,Male,Yes,Yes,High income
1046,314.30008720438883,157.69083265605988,156.60925454832895,36,Other,Yes,No,Not high income
1047,333.38568030317435,130.81567307429697,202.57000722887742,54,Male,Yes,Yes,High income
1048,318.5726625666887,128.9724019416497,189.600260625039,53,Male,Yes,Yes,High income
1049,230.46470167539417,94.78264775978111,135.68205391561304,24,Other,No,Yes,Not high income
1050,225.71054671070578,83.45978326313862,142.25076344756715,40,Other,No,No,High income
1051,269.04289688083475,75.46985003032856,193.57304685050622,35,Female,No,Yes,Not high income
1052,236.93579734987694,23.28602029190821,213.64977705796872,52,Male,Yes,Yes,High income
1053,181.25173889621647,53.711724411862505,127.54001448435397,56,Male,No,Yes,High income
1054,247.30442281499222,52.69297359004021,194.611449224952,40,Female,No,Yes,High income
1055,272.1088485785766,156.9776657110613,115.13118286751534,31,Female,No,No,Not high income
1056,275.7940434574682,161.55017630840163,114.24386714906655,34,Female,Yes,Yes,High income
1057,222.29008251144214,107.80826349551452,114.48181901592761,40,Female,No,No,Not high income
1058,189.16455330537815,88.63302654991416,100.53152675546399,31,Female,No,Yes,High income
1059,221.67537202552745,150.64029164274135,71.03508038278612,34,Male,Yes,Yes,High income
1060,288.71126399810674,109.33862200744139,179.37264199066536,34,Male,No,Yes,Not high income
1061,84.22163736066847,55.175142382809305,29.046494977859158,25,Male,Yes,No,Not high income
1062,333.73945202115766,146.98781610303,186.75163591812765,33,Male,No,Yes,Not high income
1063,233.35963257176837,122.64440035996296,110.71523221180541,39,Male,No,Yes,High income
1064,222.54101892044895,138.10616074673212,84.43485817371682,53,Other,Yes,Yes,High income
1065,199.79458450145708,82.53119439274693,117.26339010871015,51,Female,Yes,Yes,High income
1066,218.7773158014586,86.80067283722263,131.97664296423596,51,Female,Yes,No,High income
1067,198.5202116246192,67.74603423532218,130.77417738929702,35,Other,Yes,No,High income
1068,202.97866317307734,103.48838010007363,99.49028307300371,46,Other,No,Yes,High income
1069,203.89151408119469,137.97256744907435,65.91894663212034,44,Other,Yes,Yes,High income
1070,266.5228455720215,100.24826055899867,166.27458501302283,41,Male,No,No,High income
1071,399.11477018456753,152.93845698597747,246.17631319859007,52,Female,Yes,Yes,Not high income
1072,368.0469479028778,162.16960925786265,205.87733864501513,29,Female,No,Yes,High income
1073,128.33772950226418,58.506919603124025,69.83080989914015,39,Female,No,No,Not high income
1074,368.3683165436794,123.87632421018294,244.49199233349646,51,Female,Yes,Yes,High income
1075,283.3803846926284,98.8001363631892,184.5802483294392,57,Female,Yes,Yes,High income
